Englisch;Deutsch
to take into account;berücksichtigen
complaint;Beschwerde
adjustment;Ausgleich
unsatisfactory;unzureichend
to express;ausdrücken
anger;Wut
firm;fest
culture;Kultur
wine;Wein
surface;Oberfläche
badly;stark
scratched;verkratzt
to stress;betonen
to render;erbringen
surplus;überschüssig
credit note;Gutschrift
oral;mündlich
wasp;Wespe
refund;Erstattung
stitching;Naht
defective;beschädigt
botched;verpfuscht
to inspect;prüfen
merchandise;Ware
inspection;Prüfung
adhesive;Klebstoff
insufficient;unzureichend
time-consuming;zeitraubend
to commission;beauftragen
to reglue;neu verkleben
to bear;tragen
fault;Fehler
error;Irrtum
inward;inwendig
aviation;Luftfahrt
principal;Schulleiter
noisy;laut
insulation;Isolierung
procedure;Verfahren
to merge;zusammenlegen
largely;weitgehend
bulb;Blumenzwiebel
tuber;Pflanzenknolle
numerous;zahlreich
to do sb. a favour;jemanden einen Gefallen tun
mix-up;Verwechslung
paperweight;Briefbeschwerer
staff;Belegschaft
chip;Abplatzung
shape;Form
uniform;einheitlich
handcrafted;handgemacht
fair;Messe
generous;großzügig
plenty;reichlich
at our expense;auf unsere Kosten
consolation;Trost
revised;geändert
Italian;italienisch
discrepancy;Diskrepanz
to differ;sich unterscheiden
complainee;Beschwerdeempfänger
to state;darlegen
blunt;geradeheraus
dissatisfaction;Unzufriedenheit
norm;Norm
to take offence;Anstoß nehmen
no-nonsense;unverblümt
conciliatory;versöhnlich
to be subjected to;zu etwas gezwungen werden
antagonised;vor den Kopf gestoßen
uncooperative;unkooperativ
intercultural;interkulturell
to adjust;anpassen
satisfactory;zufriedenstellend
to fob sb. off;jemanden abspeißen
courtesy;Höflichkeit
patience;Geduld
to arise;entstehen
compromise;Kompromiss
justified;gerechtfertigt
sweetener;Zuckerchen
voucher;Gutschein
coaster;Untersetzer
to investigate;untersuchen
completion;Fertigstellung
disruptive;störend
ceiling;Zimmerdecke
glue feeder;Klebstoffdosierer
defect;Fehler
improvement;Verbesserung
to incur;anfallen
goodwill;Wohlwollen
human resources departement;Personalabteilung
to complain;sich beschweren
regarding;bezüglich
construction works;Bauarbeiten
to install;installieren
heating;Heizung
merger;Zusammenlegung
administrative;Verwaltungs-
to refund;erstatten
provided;vorausgesetzt
courtyard;Hof
to hesitate;zögern
to cope with;schaffen
Please rest assure;Bitte seien Sie versichert, dass
Measures;Maßnahmen
